mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kbest__k,param_svc__C,param_svc__kernel,param_svc__gamma,param_svc__coef0,param_svc__degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.502317381,0.061504085,0.015468788,0.001536975,15,3.334,linear,,,,"{'kbest__k': 15, 'svc__C': 3.334, 'svc__kernel': 'linear'}",0.869102311,0.918433338,0.903380038,0.919997274,0.829457419,0.888074076,0.034556875,30
0.332939816,0.00656413,0.030867386,0.001983937,15,7.778,rbf,scale,,,"{'kbest__k': 15, 'svc__C': 7.7780000000000005, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.891693791,0.891693791,0.895330716,0.898571926,0.86192279,0.887842603,0.013211285,31
0.424338388,0.022953913,0.043584538,0.003714067,15,6.667,rbf,0.1,,,"{'kbest__k': 15, 'svc__C': 6.667000000000001, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.878163791,0.92537822,0.85442514,0.922757055,0.857083012,0.887561444,0.030932523,32
0.395395279,0.064046642,0.036143827,0.007616486,10,3.334,rbf,0.1,,,"{'kbest__k': 10, 'svc__C': 3.334, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.884416573,0.818307602,0.912161364,0.941219112,0.876420011,0.886504933,0.041009357,33
0.375977421,0.081632457,0.037340498,0.009888363,10,3.334,rbf,scale,,,"{'kbest__k': 10, 'svc__C': 3.334, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.884416573,0.818307602,0.912161364,0.941219112,0.876420011,0.886504933,0.041009357,33
0.665919399,0.140565391,0.017390203,0.008410935,20,3.334,linear,,,,"{'kbest__k': 20, 'svc__C': 3.334, 'svc__kernel': 'linear'}",0.869102311,0.901536006,0.919997274,0.909815173,0.829457419,0.885981637,0.033005873,35
0.709134722,0.113537124,0.01996603,0.007824716,20,2.223,linear,,,,"{'kbest__k': 20, 'svc__C': 2.223, 'svc__kernel': 'linear'}",0.869102311,0.888060586,0.930460618,0.919997274,0.820330093,0.885590176,0.03932947,36
0.531413221,0.079242382,0.026811314,0.016936574,20,1.112,linear,,,,"{'kbest__k': 20, 'svc__C': 1.1119999999999999, 'svc__kernel': 'linear'}",0.859976224,0.91131158,0.899901307,0.919997274,0.834564494,0.885150176,0.032585194,37
0.420224285,0.038758468,0.035753536,0.003255906,15,7.778,rbf,0.1,,,"{'kbest__k': 15, 'svc__C': 7.7780000000000005, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.861976781,0.92537822,0.85442514,0.922757055,0.857083012,0.884324042,0.032551375,38
0.347734404,0.045748191,0.033907366,0.00867136,15,4.445,rbf,scale,,,"{'kbest__k': 15, 'svc__C': 4.445, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.881106046,0.915908375,0.882132299,0.887042077,0.854472425,0.884132245,0.019550203,39
0.356276321,0.050962658,0.041213942,0.008127574,15,5.556,rbf,scale,,,"{'kbest__k': 15, 'svc__C': 5.556, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.905115282,0.891693791,0.895330716,0.887042077,0.840341723,0.883904718,0.022577372,40
0.323313618,0.040963632,0.014345407,0.00356392,15,1.112,linear,,,,"{'kbest__k': 15, 'svc__C': 1.1119999999999999, 'svc__kernel': 'linear'}",0.869102311,0.921346386,0.892726011,0.909815173,0.825718259,0.883741628,0.033928418,41
0.38966074,0.014913876,0.034900904,0.002733499,15,8.889,rbf,0.1,,,"{'kbest__k': 15, 'svc__C': 8.889, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.861976781,0.92537822,0.84036392,0.922757055,0.857083012,0.881511798,0.035487926,42
0.404129457,0.0373127,0.037144947,0.002781506,15,10,rbf,0.1,,,"{'kbest__k': 15, 'svc__C': 10.0, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.861976781,0.92537822,0.84036392,0.922757055,0.857083012,0.881511798,0.035487926,42
0.356679726,0.011959576,0.026903057,0.004368943,15,10,rbf,scale,,,"{'kbest__k': 15, 'svc__C': 10.0, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.881106046,0.881106046,0.867984007,0.884866422,0.884866422,0.879985789,0.006232076,44
0.428425741,0.022979079,0.041000462,0.001908116,15,3.334,rbf,0.1,,,"{'kbest__k': 15, 'svc__C': 3.334, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.867479206,0.938459556,0.85442514,0.898571926,0.836803503,0.879147866,0.035876417,45
0.370232439,0.031515682,0.036821699,0.005628644,15,3.334,rbf,scale,,,"{'kbest__k': 15, 'svc__C': 3.334, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.870812318,0.905115282,0.869392156,0.900750545,0.844232911,0.878060642,0.022444516,46
0.510427427,0.071306736,0.046031952,0.004845667,15,1.112,rbf,0.1,,,"{'kbest__k': 15, 'svc__C': 1.1119999999999999, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.857096811,0.915908375,0.84517982,0.912161364,0.824590149,0.870987304,0.036673898,47
0.416239071,0.023838192,0.04057703,0.005073482,15,2.223,rbf,0.1,,,"{'kbest__k': 15, 'svc__C': 2.223, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.857096811,0.950252147,0.816591831,0.887042077,0.840341723,0.870264918,0.046106457,48
0.492131519,0.051081722,0.044510937,0.009302802,20,3.334,rbf,scale,,,"{'kbest__k': 20, 'svc__C': 3.334, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.867479206,0.884416573,0.85442514,0.900750545,0.844232911,0.870260875,0.020327158,49
0.379748058,0.028894289,0.038164806,0.003863806,15,2.223,rbf,scale,,,"{'kbest__k': 15, 'svc__C': 2.223, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.870812318,0.905115282,0.836803503,0.900750545,0.834276687,0.869551667,0.030187734,50
0.390059137,0.030059048,0.039238977,0.001874604,20,2.223,rbf,scale,,,"{'kbest__k': 20, 'svc__C': 2.223, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.867479206,0.874483031,0.857083012,0.912161364,0.834276687,0.86909666,0.025467454,51
0.305531645,0.038365379,0.029559278,0.003469465,10,2.223,rbf,0.1,,,"{'kbest__k': 10, 'svc__C': 2.223, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.874483031,0.800384928,0.892726011,0.919997274,0.852938715,0.868105992,0.040387389,52
0.400371647,0.097683226,0.039915752,0.009836906,10,2.223,rbf,scale,,,"{'kbest__k': 10, 'svc__C': 2.223, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.874483031,0.800384928,0.892726011,0.919997274,0.852938715,0.868105992,0.040387389,52
0.716498899,0.250684159,0.01296916,0.004487383,10,7.778,linear,,,,"{'kbest__k': 10, 'svc__C': 7.7780000000000005, 'svc__kernel': 'linear'}",0.888060586,0.723259851,0.941219112,0.919997274,0.862695697,0.867046504,0.076733933,54
0.474163723,0.188396994,0.012342739,0.004005831,10,8.889,linear,,,,"{'kbest__k': 10, 'svc__C': 8.889, 'svc__kernel': 'linear'}",0.888060586,0.723259851,0.941219112,0.919997274,0.862695697,0.867046504,0.076733933,54
0.393937349,0.187384192,0.013149118,0.00316648,10,10,linear,,,,"{'kbest__k': 10, 'svc__C': 10.0, 'svc__kernel': 'linear'}",0.888060586,0.723259851,0.941219112,0.909815173,0.862695697,0.865010084,0.075425622,56
0.449855518,0.03171193,0.04356637,0.011972368,20,4.445,rbf,scale,,,"{'kbest__k': 20, 'svc__C': 4.445, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.853736891,0.870812318,0.85442514,0.884866422,0.844232911,0.861614736,0.014429934,57
0.398967648,0.040599958,0.038611221,0.00964251,20,5.556,rbf,scale,,,"{'kbest__k': 20, 'svc__C': 5.556, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.853736891,0.870812318,0.85411238,0.884866422,0.844232911,0.861552184,0.014461608,58
0.441235685,0.049844285,0.051032114,0.007343274,20,1.112,rbf,scale,,,"{'kbest__k': 20, 'svc__C': 1.1119999999999999, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.857096811,0.884416573,0.826081176,0.900750545,0.834276687,0.860524358,0.028551725,59
0.36726408,0.122208537,0.017709064,0.006123918,10,2.223,linear,,,,"{'kbest__k': 10, 'svc__C': 2.223, 'svc__kernel': 'linear'}",0.888060586,0.723259851,0.927833844,0.899901307,0.862695697,0.860350257,0.071673514,60
0.630839491,0.259042521,0.025418139,0.014364643,10,6.667,linear,,,,"{'kbest__k': 10, 'svc__C': 6.667000000000001, 'svc__kernel': 'linear'}",0.888060586,0.723259851,0.927833844,0.899901307,0.862695697,0.860350257,0.071673514,60
0.52159605,0.165978782,0.024007082,0.00645706,10,5.556,linear,,,,"{'kbest__k': 10, 'svc__C': 5.556, 'svc__kernel': 'linear'}",0.888060586,0.723259851,0.916972562,0.909815173,0.862695697,0.860160773,0.07102088,62
0.466111803,0.159933223,0.016820526,0.003961995,10,4.445,linear,,,,"{'kbest__k': 10, 'svc__C': 4.445, 'svc__kernel': 'linear'}",0.897914709,0.723259851,0.916972562,0.899901307,0.862695697,0.860148825,0.070683147,63
0.437173462,0.057313715,0.051854515,0.019005823,20,7.778,rbf,scale,,,"{'kbest__k': 20, 'svc__C': 7.7780000000000005, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.864519909,0.857096811,0.840098862,0.873214908,0.865009819,0.859988062,0.011177162,64
0.403722477,0.057528463,0.03769927,0.005483276,10,1.112,rbf,0.1,,,"{'kbest__k': 10, 'svc__C': 1.1119999999999999, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.874483031,0.783330194,0.903380038,0.909815173,0.825718259,0.859345339,0.048217199,65
0.425705767,0.069693269,0.041327333,0.014339226,10,1.112,rbf,scale,,,"{'kbest__k': 10, 'svc__C': 1.1119999999999999, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.874483031,0.783330194,0.903380038,0.909815173,0.825718259,0.859345339,0.048217199,65
0.415511131,0.017744713,0.043440294,0.00311957,15,1.112,rbf,scale,,,"{'kbest__k': 15, 'svc__C': 1.1119999999999999, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.818307602,0.894622828,0.830018619,0.927833844,0.824590149,0.859074608,0.044015646,67
0.43781929,0.129428764,0.017781067,0.004979168,10,3.334,linear,,,,"{'kbest__k': 10, 'svc__C': 3.334, 'svc__kernel': 'linear'}",0.888060586,0.71664862,0.916972562,0.899901307,0.871651085,0.858646832,0.072528055,68
0.465138817,0.086335609,0.036728716,0.007105811,20,6.667,rbf,scale,,,"{'kbest__k': 20, 'svc__C': 6.667000000000001, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.864519909,0.857096811,0.85411238,0.86192279,0.854472425,0.858424863,0.004132023,69
0.60022316,0.159993979,0.048938656,0.021034843,20,10,rbf,scale,,,"{'kbest__k': 20, 'svc__C': 10.0, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.85075644,0.857096811,0.840098862,0.86192279,0.865009819,0.854976944,0.008860781,70
0.920033693,0.063041205,0.075437593,0.008785792,20,8.889,rbf,scale,,,"{'kbest__k': 20, 'svc__C': 8.889, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.85075644,0.847001808,0.840098862,0.86192279,0.865009819,0.852957944,0.009287565,71
0.305110979,0.051337241,0.010670042,0.003731429,10,1.112,linear,,,,"{'kbest__k': 10, 'svc__C': 1.1119999999999999, 'svc__kernel': 'linear'}",0.901536006,0.710164716,0.916972562,0.880830329,0.831307005,0.848162124,0.074804062,72
0.367805004,0.01692587,0.016603518,0.002205323,15,4.445,poly,scale,0,3,"{'kbest__k': 15, 'svc__C': 4.445, 'svc__coef0': 0, 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.83987336,0.900504293,0.787389876,0.857083012,0.840341723,0.845038453,0.036314258,73
6.281368589,4.720181333,0.015325022,0.008269148,10,10,poly,1,0,2,"{'kbest__k': 10, 'svc__C': 10.0, 'svc__coef0': 0, 'svc__degree': 2, 'svc__gamma': 1, 'svc__kernel': 'poly'}",0.894622828,0.731667546,0.908819147,0.882368653,0.805976124,0.844690859,0.066780768,74
0.448027229,0.057589749,0.017374372,0.00734189,10,2.223,poly,0.1,0,3,"{'kbest__k': 10, 'svc__C': 2.223, 'svc__coef0': 0, 'svc__degree': 3, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.819050036,0.804883091,0.883207465,0.91434601,0.800738368,0.844444994,0.045845389,75
0.363412905,0.032634103,0.019099283,0.008076806,10,2.223,poly,scale,0,3,"{'kbest__k': 10, 'svc__C': 2.223, 'svc__coef0': 0, 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.819050036,0.804883091,0.883207465,0.91434601,0.800738368,0.844444994,0.045845389,75
0.460517311,0.055072815,0.015042353,0.001926446,15,2.223,poly,0.1,0,3,"{'kbest__k': 15, 'svc__C': 2.223, 'svc__coef0': 0, 'svc__degree': 3, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.867479206,0.887086241,0.748698059,0.847857889,0.865009819,0.843226243,0.048874246,77
5.525593233,4.717827546,0.009603119,0.001156262,10,8.889,poly,1,0,2,"{'kbest__k': 10, 'svc__C': 8.889, 'svc__coef0': 0, 'svc__degree': 2, 'svc__gamma': 1, 'svc__kernel': 'poly'}",0.894622828,0.748554619,0.908819147,0.852938715,0.805976124,0.842182287,0.058963054,78
0.352168655,0.01127675,0.016143942,0.001738356,15,7.778,poly,scale,0,3,"{'kbest__k': 15, 'svc__C': 7.7780000000000005, 'svc__coef0': 0, 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.867479206,0.875630367,0.748698059,0.859262974,0.850970965,0.840408314,0.046585974,79
0.343329859,0.014844317,0.017544699,0.003668498,15,5.556,poly,scale,0,3,"{'kbest__k': 15, 'svc__C': 5.556, 'svc__coef0': 0, 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.867479206,0.887086241,0.787389876,0.833659526,0.826081176,0.840339205,0.03456416,80
0.3401896,0.046930201,0.012539053,0.00107867,10,5.556,poly,0.1,0,3,"{'kbest__k': 10, 'svc__C': 5.556, 'svc__coef0': 0, 'svc__degree': 3, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.857096811,0.775570278,0.797143852,0.937280652,0.834564494,0.840331217,0.056165222,81
0.294789696,0.040831478,0.013204718,0.000658409,10,5.556,poly,scale,0,3,"{'kbest__k': 10, 'svc__C': 5.556, 'svc__coef0': 0, 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.857096811,0.775570278,0.797143852,0.937280652,0.834564494,0.840331217,0.056165222,81
0.341873455,0.026693452,0.015726614,0.001563747,10,3.334,poly,0.1,0,3,"{'kbest__k': 10, 'svc__C': 3.334, 'svc__coef0': 0, 'svc__degree': 3, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.819050036,0.785069105,0.857083012,0.923928945,0.800738368,0.837173893,0.049585769,83
0.340159321,0.057830004,0.013464594,0.001707848,10,3.334,poly,scale,0,3,"{'kbest__k': 10, 'svc__C': 3.334, 'svc__coef0': 0, 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.819050036,0.785069105,0.857083012,0.923928945,0.800738368,0.837173893,0.049585769,83
0.47948885,0.09398184,0.015690804,0.002491714,10,4.445,poly,0.1,0,3,"{'kbest__k': 10, 'svc__C': 4.445, 'svc__coef0': 0, 'svc__degree': 3, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.857096811,0.775570278,0.808056078,0.923928945,0.820330093,0.836996441,0.050694714,85
0.397761393,0.071816486,0.014607668,0.001630178,10,4.445,poly,scale,0,3,"{'kbest__k': 10, 'svc__C': 4.445, 'svc__coef0': 0, 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.857096811,0.775570278,0.808056078,0.923928945,0.820330093,0.836996441,0.050694714,85
4.068004131,2.406943161,0.009594965,0.000792217,10,6.667,poly,1,0,2,"{'kbest__k': 10, 'svc__C': 6.667000000000001, 'svc__coef0': 0, 'svc__degree': 2, 'svc__gamma': 1, 'svc__kernel': 'poly'}",0.884416573,0.748554619,0.908819147,0.852938715,0.788298658,0.836605543,0.059756158,87
0.34849658,0.003406947,0.015589666,0.002087851,15,8.889,poly,scale,0,3,"{'kbest__k': 15, 'svc__C': 8.889, 'svc__coef0': 0, 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.867479206,0.875630367,0.726460748,0.859262974,0.850970965,0.835960852,0.055363602,88
4.353004503,2.869321543,0.009567881,0.002199856,10,7.778,poly,1,0,2,"{'kbest__k': 10, 'svc__C': 7.7780000000000005, 'svc__coef0': 0, 'svc__degree': 2, 'svc__gamma': 1, 'svc__kernel': 'poly'}",0.884416573,0.731667546,0.908819147,0.852938715,0.797025624,0.834973521,0.06376944,89
0.458522558,0.036985273,0.018913412,0.002531644,15,0.001,poly,1,0,3,"{'kbest__k': 15, 'svc__C': 0.001, 'svc__coef0': 0, 'svc__degree': 3, 'svc__gamma': 1, 'svc__kernel': 'poly'}",0.811757863,0.887086241,0.775384907,0.883207465,0.815673627,0.83462202,0.043597906,90
0.378947973,0.007723536,0.01448946,0.000829887,15,3.334,poly,scale,0,3,"{'kbest__k': 15, 'svc__C': 3.334, 'svc__coef0': 0, 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.811757863,0.887086241,0.775384907,0.883207465,0.815673627,0.83462202,0.043597906,90
0.558425808,0.028692544,0.031483173,0.013116488,15,1.112,poly,0.1,0,3,"{'kbest__k': 15, 'svc__C': 1.1119999999999999, 'svc__coef0': 0, 'svc__degree': 3, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.825882513,0.898906923,0.763791507,0.857083012,0.826081176,0.834349026,0.04427857,92
3.291584349,2.23939472,0.010737419,0.000913605,10,4.445,poly,1,0,2,"{'kbest__k': 10, 'svc__C': 4.445, 'svc__coef0': 0, 'svc__degree': 2, 'svc__gamma': 1, 'svc__kernel': 'poly'}",0.864809591,0.740005536,0.92219248,0.852938715,0.788298658,0.833648996,0.063259426,93
0.366499805,0.012702483,0.014424849,0.000391238,15,6.667,poly,scale,0,3,"{'kbest__k': 15, 'svc__C': 6.667000000000001, 'svc__coef0': 0, 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.867479206,0.873553316,0.748698059,0.833659526,0.840341723,0.832746366,0.04470843,94
1.282408047,0.380747092,0.009814596,0.000602598,15,1.112,poly,1,0,2,"{'kbest__k': 15, 'svc__C': 1.1119999999999999, 'svc__coef0': 0, 'svc__degree': 2, 'svc__gamma': 1, 'svc__kernel': 'poly'}",0.915908375,0.905115282,0.760404666,0.844232911,0.732203393,0.831572925,0.074324218,95
0.439317083,0.091300817,0.016791582,0.008614524,10,6.667,poly,0.1,0,3,"{'kbest__k': 10, 'svc__C': 6.667000000000001, 'svc__coef0': 0, 'svc__degree': 3, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.819050036,0.775570278,0.786564929,0.937280652,0.834564494,0.830606078,0.057440818,96
